"Mes","Año","Días funcionamiento","Clase","Región","Destino Turístico"," Total de Llegadas Chilenos"," Total de Pernoctaciones  Chilenos"," Total Llegadas Extranjeros"," Total Pernoctaciones Extranjeros","Total Llegadas","Total Pernoctación","Factor de Expansión"
"1","2017","31","Hotel","14","31","2114","3460","7503","10494","9617","13954","1"
"1","2017","31","Hotel","14","31","549","765","3315","7370","3864","8135","1"
"1","2017","31","Hotel","14","31","681","1661","2861","8368","3542","10029","1"
"1","2017","31","Hotel","11","32","0","0","0","0","0","0","1"
"1","2017","31","Hotel","14","27","2987","5242","612","1074","3599","6316","1"
"1","2017","31","Otros","11","32","50","107","10","25","60","132","2.2857142857143"
"1","2017","31","Hotel","14","31","358","475","2331","4585","2689","5060","5.4"
"1","2017","31","Hotel","15","16","1446","6223","281","1164","1727","7387","1"
"1","2017","31","Hotel","14","31","1119","1862","1167","3766","2286","5628","5.4"
"1","2017","31","Hotel","12","24","1592","2113","4503","7030","6095","9143","1"
"1","2017","31","Hotel","16","40","1152","2212","963","2315","2115","4527","1"
"1","2017","31","Hotel","6","12","1240","1788","139","359","1379","2147","1"
"1","2017","31","Hotel","10","23","1891","2347","937","1445","2828","3792","1"
"1","2017","31","Hotel","14","31","1746","3532","356","726","2102","4258","5.4"
"1","2017","31","Hotel","3","4","787","1838","299","1440","1086","3278","1"
"1","2017","31","","11","32","587","1032","182","283","769","1315","1"
"1","2017","31","Hotel","6","12","835","1537","133","431","968","1968","1"
"1","2017","31","Hotel","6","12","2494","3520","531","822","3025","4342","1"
"1","2017","31","Hotel","9","26","2734","5662","69","142","2803","5804","1"
"1","2017","31","Hotel","2","1","367","3254","73","712","440","3966","1"
"1","2017","31","Hotel","9","26","2077","5707","772","2345","2849","8052","1"
"1","2017","31","Hotel","6","12","531","952","70","162","601","1114","1"
"1","2017","31","Hotel","14","31","46","49","4687","8361","4733","8410","5.4"
"1","2017","31","Hotel","11","32","277","513","54","110","331","623","1"
"1","2017","31","Hotel","2","6","1315","2215","681","951","1996","3166","1"
"1","2017","31","Hotel","16","40","565","2581","1124","5126","1689","7707","1"
"1","2017","31","Hotel","14","27","994","2258","1303","3189","2297","5447","1"
"1","2017","31","Otros","11","36","256","724","16","80","272","804","1"
"1","2017","31","Hotel","10","23","1159","2328","1110","2545","2269","4873","1"
"1","2017","31","Hotel","14","31","181","543","719","3567","900","4110","7.8"
"1","2017","31","Hotel","7","17","301","881","1066","3191","1367","4072","1"
"1","2017","31","Hotel","2","1","2485","3079","314","390","2799","3469","2"
"1","2017","31","Hotel","2","1","2156","3191","498","1369","2654","4560","2"
"1","2017","31","Hotel","4","13","998","1660","353","538","1351","2198","1"
